Type,Year,Qtr,Adoption,Order_type,Adopter,Adopted_child_sex,Adopted_child_age,Count
Application,2013,4,Adoption,Foreign,Sole applicant,n/a,n/a,5
Application,2013,4,Adoption,Foreign,Step parent,n/a,n/a,0
Application,2014,1,Adoption,Foreign,M/F couple,n/a,n/a,6
Application,2014,1,Adoption,Foreign,Other or not stated,n/a,n/a,0
Application,2014,1,Adoption,Foreign,Same sex couple,n/a,n/a,0
Application,2014,1,Adoption,Foreign,Sole applicant,n/a,n/a,3
Application,2014,1,Adoption,Foreign,Step parent,n/a,n/a,0
Application,2014,2,Adoption,Foreign,M/F couple,n/a,n/a,13
Application,2014,2,Adoption,Foreign,Other or not stated,n/a,n/a,0
Application,2014,2,Adoption,Foreign,Same sex couple,n/a,n/a,0
Application,2014,2,Adoption,Foreign,Sole applicant,n/a,n/a,0
Application,2014,2,Adoption,Foreign,Step parent,n/a,n/a,1
Application,2014,3,Adoption,Foreign,M/F couple,n/a,n/a,7
Application,2014,3,Adoption,Foreign,Other or not stated,n/a,n/a,0
Application,2014,3,Adoption,Foreign,Same sex couple,n/a,n/a,0
Application,2014,3,Adoption,Foreign,Sole applicant,n/a,n/a,0
Application,2014,3,Adoption,Foreign,Step parent,n/a,n/a,0
Application,2014,4,Adoption,Foreign,M/F couple,n/a,n/a,17
Application,2014,4,Adoption,Foreign,Other or not stated,n/a,n/a,0
Application,2014,4,Adoption,Foreign,Same sex couple,n/a,n/a,0
Application,2014,4,Adoption,Foreign,Sole applicant,n/a,n/a,0
Application,2014,4,Adoption,Foreign,Step parent,n/a,n/a,0
Application,2015,1,Adoption,Foreign,M/F couple,n/a,n/a,7
Application,2015,1,Adoption,Foreign,Other or not stated,n/a,n/a,0
Application,2015,1,Adoption,Foreign,Same sex couple,n/a,n/a,0
Application,2015,1,Adoption,Foreign,Sole applicant,n/a,n/a,1
Application,2015,1,Adoption,Foreign,Step parent,n/a,n/a,0
Application,2015,2,Adoption,Foreign,M/F couple,n/a,n/a,1
Application,2015,2,Adoption,Foreign,Other or not stated,n/a,n/a,0
Application,2015,2,Adoption,Foreign,Same sex couple,n/a,n/a,0
Application,2015,2,Adoption,Foreign,Sole applicant,n/a,n/a,3
Application,2015,2,Adoption,Foreign,Step parent,n/a,n/a,0
Application,2015,3,Adoption,Foreign,M/F couple,n/a,n/a,10
